"","buying","maint","doors","persons","lug_boot","safety","class"
"1","vhigh","vhigh","2","2","big","med","unacc"
"2","vhigh","vhigh","2","2","big","high","unacc"
"3","vhigh","vhigh","2","4","small","low","unacc"
"4","vhigh","vhigh","2","4","small","med","unacc"
"5","vhigh","vhigh","2","4","small","high","unacc"
"6","vhigh","vhigh","2","4","med","low","unacc"
"7","vhigh","vhigh","2","4","med","med","unacc"
"8","vhigh","vhigh","2","4","med","high","unacc"
"9","vhigh","vhigh","2","4","big","low","unacc"
"10","vhigh","vhigh","2","4","big","med","unacc"
"11","vhigh","vhigh","2","4","big","high","unacc"
"12","vhigh","vhigh","2","more","small","low","unacc"
"13","vhigh","vhigh","2","more","small","med","unacc"
"14","vhigh","vhigh","2","more","small","high","unacc"
"15","vhigh","vhigh","2","more","med","low","unacc"
"16","vhigh","vhigh","3","2","small","med","unacc"
"17","vhigh","vhigh","3","2","small","high","unacc"
"18","vhigh","vhigh","3","2","med","low","unacc"
"19","vhigh","vhigh","3","2","med","med","unacc"
"20","vhigh","vhigh","3","2","med","high","unacc"
"21","vhigh","vhigh","3","2","big","low","unacc"
"22","vhigh","vhigh","3","2","big","med","unacc"
"23","vhigh","vhigh","3","2","big","high","unacc"
"24","vhigh","vhigh","3","4","small","low","unacc"
"25","vhigh","vhigh","3","4","big","low","unacc"
"26","vhigh","vhigh","3","4","big","med","unacc"
"27","vhigh","vhigh","3","4","big","high","unacc"
"28","vhigh","vhigh","3","more","small","low","unacc"
"29","vhigh","vhigh","3","more","small","med","unacc"
"30","vhigh","vhigh","3","more","big","med","unacc"
"31","vhigh","vhigh","3","more","big","high","unacc"
"32","vhigh","vhigh","4","2","small","low","unacc"
"33","vhigh","vhigh","5more","4","small","med","unacc"
"34","vhigh","vhigh","5more","4","small","high","unacc"
"35","vhigh","vhigh","5more","4","med","low","unacc"
"36","vhigh","vhigh","5more","4","med","med","unacc"
"37","vhigh","vhigh","5more","4","med","high","unacc"
"38","vhigh","vhigh","5more","4","big","low","unacc"
"39","vhigh","vhigh","5more","4","big","med","unacc"
"40","vhigh","vhigh","5more","4","big","high","unacc"
"41","vhigh","vhigh","5more","more","small","low","unacc"
"42","vhigh","vhigh","5more","more","small","med","unacc"
"43","vhigh","vhigh","5more","more","small","high","unacc"
"44","vhigh","vhigh","5more","more","med","low","unacc"
"45","vhigh","vhigh","5more","more","med","med","unacc"
"46","vhigh","vhigh","5more","more","med","high","unacc"
"47","vhigh","vhigh","5more","more","big","low","unacc"
"48","vhigh","high","2","2","big","high","unacc"
"49","vhigh","high","2","4","small","low","unacc"
"50","vhigh","high","2","4","small","med","unacc"
"51","vhigh","high","2","4","small","high","unacc"
"52","vhigh","high","2","4","med","low","unacc"
"53","vhigh","high","3","2","small","high","unacc"
"54","vhigh","high","3","2","med","low","unacc"
"55","vhigh","high","3","2","med","med","unacc"
"56","vhigh","high","3","2","med","high","unacc"
