"","wage","educ","exper","tenure","lwage"
"1",3.09999990463257,11,2,0,1.13140213489532
"2",3.24000000953674,12,22,2,1.17557334899902
"3",3,11,2,0,1.0986123085022
"4",6,8,44,28,1.7917594909668
"5",5.30000019073486,12,7,2,1.66770684719086
"6",8.75,16,9,8,2.16905379295349
"7",11.25,18,15,7,2.42036819458008
"8",5,12,5,3,1.60943794250488
"9",3.59999990463257,12,26,4,1.28093385696411
"10",18.1800003051758,17,22,21,2.9003221988678
"11",6.25,16,8,2,1.83258152008057
"12",8.13000011444092,13,3,0,2.09556102752686
"13",8.77000045776367,12,15,0,2.17133688926697
"14",5.5,12,18,3,1.70474803447723
"15",22.2000007629395,12,31,15,3.10009241104126
"16",17.3299999237061,16,14,0,2.85243916511536
"17",7.5,12,10,0,2.01490306854248
"18",10.6300001144409,13,16,10,2.36368012428284
"19",3.59999990463257,12,13,0,1.28093385696411
"20",4.5,12,36,6,1.50407743453979
"21",6.88000011444092,12,11,4,1.92861866950989
"22",8.47999954223633,12,29,13,2.13771033287048
"23",6.32999992370605,16,9,9,1.84530019760132
"24",0.529999971389771,12,3,1,-0.63487833738327
"25",6,11,37,8,1.7917594909668
"26",9.5600004196167,16,3,3,2.25758767127991
"27",7.78000020980835,16,11,10,2.05155634880066
"28",12.5,16,31,0,2.52572870254517
"29",12.5,15,30,0,2.52572870254517
"30",3.25,8,9,1,1.1786550283432
"31",13,14,23,5,2.56494927406311
"32",4.5,14,2,5,1.50407743453979
"33",9.68000030517578,13,16,16,2.27006196975708
"34",5,12,7,3,1.60943794250488
"35",4.67999982833862,12,3,0,1.54329812526703
"36",4.26999998092651,16,22,4,1.45161378383636
"37",6.15000009536743,12,15,6,1.81645214557648
"38",3.50999999046326,4,39,15,1.25561606884003
"39",3,14,3,3,1.0986123085022
"40",6.25,12,11,0,1.83258152008057
"41",7.80999994277954,12,3,0,2.05540490150452
"42",10,12,20,5,2.30258512496948
"43",4.5,14,16,0,1.50407743453979
"44",4,11,45,12,1.3862943649292
"45",6.38000011444092,13,11,4,1.85316812992096
"46",13.6999998092651,15,20,13,2.61739587783813
"47",1.66999995708466,10,1,0,0.512823581695557
"48",2.9300000667572,12,36,2,1.07500243186951
"49",3.65000009536743,14,9,2,1.29472720623016
"50",2.90000009536743,12,15,1,1.06471073627472
"51",1.62999999523163,12,18,0,0.488580018281937
"52",8.60000038146973,16,3,2,2.15176224708557
"53",5,12,15,5,1.60943794250488
"54",6,12,7,7,1.7917594909668
"55",2.5,12,2,0,0.916290760040283
"56",3.25,15,3,0,1.1786550283432
"57",3.40000009536743,16,1,1,1.22377550601959
"58",10,8,13,0,2.30258512496948
"59",21.6299991607666,18,8,8,3.07408118247986
"60",4.38000011444092,16,7,0,1.47704875469208
"61",11.710000038147,13,40,20,2.46044325828552
"62",12.3900003433228,14,42,5,2.51688981056213
"63",6.25,10,36,8,1.83258152008057
"64",3.71000003814697,10,13,0,1.31103193759918
"65",7.78000020980835,14,9,3,2.05155634880066
"66",19.9799995422363,14,26,23,2.99473166465759
"67",6.25,16,7,4,1.83258152008057
"68",10,12,25,3,2.30258512496948
"69",5.71000003814697,16,10,5,1.74221897125244
"70",2,12,3,2,0.6931471824646
"71",5.71000003814697,16,3,0,1.74221897125244
"72",13.0799999237061,17,17,2,2.57108426094055
"73",4.90999984741211,12,17,8,1.59127390384674
"74",2.91000008583069,12,20,34,1.06815314292908
"75",3.75,12,7,0,1.32175588607788
"76",11.8999996185303,13,24,19,2.47653841972351
"77",4,12,28,0,1.3862943649292
"78",3.09999990463257,12,2,1,1.13140213489532
"79",8.44999980926514,12,19,13,2.13416647911072
"80",7.1399998664856,18,13,0,1.96571278572083
"81",4.5,9,22,5,1.50407743453979
"82",4.65000009536743,16,3,1,1.53686726093292
"83",2.90000009536743,10,4,0,1.06471073627472
"84",6.67000007629395,12,7,5,1.89761984348297
